snapped_at,Close,market_cap,total_volume
2023-08-27 00:00:00 UTC,26002.01572,5.06086E+11,3420999388
2023-08-28 00:00:00 UTC,26082.71718,5.07836E+11,4743752357
2023-08-29 00:00:00 UTC,26109.26982,5.08351E+11,9995933796
2023-08-30 00:00:00 UTC,27730.50374,5.39045E+11,29462388819
2023-08-31 00:00:00 UTC,27297.26144,5.31729E+11,16029914124
2023-09-01 00:00:00 UTC,25927.41701,5.05403E+11,20360682650
2023-09-02 00:00:00 UTC,25812.33049,5.02688E+11,15924588669
2023-09-03 00:00:00 UTC,25853.65684,5.0368E+11,8203515573
2023-09-04 00:00:00 UTC,25959.59631,5.05513E+11,8301138495
2023-09-05 00:00:00 UTC,25829.36477,5.02409E+11,6700578092
2023-09-06 00:00:00 UTC,25784.41352,5.01979E+11,7633735597
2023-09-07 00:00:00 UTC,25752.95842,5.01615E+11,12225427271
2023-09-08 00:00:00 UTC,26192.33343,5.09838E+11,4521997781
2023-09-09 00:00:00 UTC,25907.22814,5.04533E+11,8058794339
2023-09-10 00:00:00 UTC,25889.32501,5.04374E+11,404806432.5
2023-09-11 00:00:00 UTC,25834.5801,5.0349E+11,6603006234
2023-09-12 00:00:00 UTC,25133.30311,4.89503E+11,14859931201
2023-09-13 00:00:00 UTC,25866.80666,5.03998E+11,16825266473
2023-09-14 00:00:00 UTC,26223.43608,5.10909E+11,12975855576
2023-09-15 00:00:00 UTC,26531.39557,5.16824E+11,11739428177
2023-09-16 00:00:00 UTC,26634.63103,5.18872E+11,9768889420
2023-09-17 00:00:00 UTC,26557.76869,5.17397E+11,1224363672
2023-09-18 00:00:00 UTC,26520.98825,5.16614E+11,5791146184
2023-09-19 00:00:00 UTC,26741.46111,5.21347E+11,16477839825
2023-09-20 00:00:00 UTC,27219.29687,5.30358E+11,12615959842
2023-09-21 00:00:00 UTC,27115.84645,5.29169E+11,13497179077
2023-09-22 00:00:00 UTC,26561.13345,5.17744E+11,8169328791
2023-09-23 00:00:00 UTC,26572.03811,5.18384E+11,9968041759
2023-09-24 00:00:00 UTC,26573.92348,5.17968E+11,6583511186
2023-09-25 00:00:00 UTC,26249.5629,5.11788E+11,7226298594
2023-09-26 00:00:00 UTC,26298.63468,5.12103E+11,11974957450
2023-09-27 00:00:00 UTC,26204.75759,5.11054E+11,9786025048
2023-09-28 00:00:00 UTC,26350.1469,5.13714E+11,12889674588
2023-09-29 00:00:00 UTC,27009.01375,5.26918E+11,16683207555
2023-09-30 00:00:00 UTC,26917.1991,5.24947E+11,9059145545
2023-10-01 00:00:00 UTC,26969.87614,5.25936E+11,6295435108
2023-10-02 00:00:00 UTC,27967.51058,5.45302E+11,9358226524
2023-10-03 00:00:00 UTC,27615.06489,5.38323E+11,18127133424
2023-10-04 00:00:00 UTC,27439.12195,5.35606E+11,12676657038
2023-10-05 00:00:00 UTC,27792.11128,5.41955E+11,10876597601
2023-10-06 00:00:00 UTC,27435.87462,5.34852E+11,13376186563
2023-10-07 00:00:00 UTC,27958.19644,5.45155E+11,13817979025
2023-10-08 00:00:00 UTC,27977.54349,5.4562E+11,7226218925
2023-10-09 00:00:00 UTC,27948.10365,5.4499E+11,7141598447
2023-10-10 00:00:00 UTC,27593.78253,5.38283E+11,7640029989
2023-10-11 00:00:00 UTC,27392.2477,5.352E+11,10151720984
2023-10-12 00:00:00 UTC,26842.19044,5.23656E+11,14608441296
2023-10-13 00:00:00 UTC,26729.13721,5.21608E+11,10867640259
2023-10-14 00:00:00 UTC,26841.13622,5.23656E+11,14344414896
2023-10-15 00:00:00 UTC,26863.18357,5.23979E+11,5543160607
2023-10-16 00:00:00 UTC,27150.297,5.29643E+11,6604845643
2023-10-17 00:00:00 UTC,28513.30993,5.55339E+11,22792799562
2023-10-18 00:00:00 UTC,28417.72175,5.55003E+11,10403248077
2023-10-19 00:00:00 UTC,28328.2452,5.53311E+11,13461030458
2023-10-20 00:00:00 UTC,28715.74814,5.59364E+11,11193923144
2023-10-21 00:00:00 UTC,29677.39289,5.79537E+11,23561406298
2023-10-22 00:00:00 UTC,29920.07449,5.8372E+11,7452489477
2023-10-23 00:00:00 UTC,30019.3805,5.83399E+11,11330304246
2023-10-24 00:00:00 UTC,32953.26276,6.41535E+11,35558857925
2023-10-25 00:00:00 UTC,33846.72426,6.60676E+11,46464714676
2023-10-26 00:00:00 UTC,34471.98603,6.73949E+11,23840463172
2023-10-27 00:00:00 UTC,34174.45155,6.67402E+11,17712548550
2023-10-28 00:00:00 UTC,33899.09306,6.6212E+11,14148818689
2023-10-29 00:00:00 UTC,34092.63093,6.65893E+11,8431785275
2023-10-30 00:00:00 UTC,34556.24281,6.74294E+11,10359013389
2023-10-31 00:00:00 UTC,34498.70392,6.73508E+11,17075173424
2023-11-01 00:00:00 UTC,34672.28928,6.7632E+11,16419150929
2023-11-02 00:00:00 UTC,35457.45491,6.92544E+11,18642295525
2023-11-03 00:00:00 UTC,34924.05545,6.8156E+11,20690186422
2023-11-04 00:00:00 UTC,34731.38137,6.77974E+11,17254049537
2023-11-05 00:00:00 UTC,35048.40783,6.85385E+11,10001404423
2023-11-06 00:00:00 UTC,35061.92875,6.84647E+11,12796779678
2023-11-07 00:00:00 UTC,35031.26888,6.83644E+11,12717348150
2023-11-08 00:00:00 UTC,35436.53763,6.91661E+11,18582602380
2023-11-09 00:00:00 UTC,35795.08063,6.99188E+11,14717120833
2023-11-10 00:00:00 UTC,36768.42082,7.17022E+11,38190964507
2023-11-11 00:00:00 UTC,37344.249,7.30761E+11,23152060053
2023-11-12 00:00:00 UTC,37122.72282,7.20324E+11,12033297220
2023-11-13 00:00:00 UTC,37067.69698,7.25017E+11,8831221164
2023-11-14 00:00:00 UTC,36549.16205,7.14263E+11,18041088204
2023-11-15 00:00:00 UTC,35545.20143,6.94845E+11,22330924588
2023-11-16 00:00:00 UTC,37903.66245,7.39216E+11,28479730068
2023-11-17 00:00:00 UTC,36201.51611,7.07489E+11,12023334732
2023-11-18 00:00:00 UTC,36527.76023,7.14652E+11,22683923624
2023-11-19 00:00:00 UTC,36582.36844,7.15118E+11,8877846889
2023-11-20 00:00:00 UTC,37413.99461,7.32522E+11,12599067948
2023-11-21 00:00:00 UTC,37489.29847,7.32673E+11,16005284775
2023-11-22 00:00:00 UTC,35965.36036,7.02706E+11,18891503535
2023-11-23 00:00:00 UTC,37464.83293,7.3226E+11,25245202377
2023-11-24 00:00:00 UTC,37293.31613,7.28817E+11,11956046627
2023-11-25 00:00:00 UTC,37738.9317,7.37614E+11,22996708652
2023-11-26 00:00:00 UTC,37809.85287,7.39537E+11,7505379785
2023-11-27 00:00:00 UTC,37491.83819,7.33377E+11,10229112671
2023-11-28 00:00:00 UTC,37250.16905,7.2804E+11,17979133248
2023-11-29 00:00:00 UTC,37802.23604,7.38817E+11,19715537241
2023-11-30 00:00:00 UTC,37810.34642,7.40495E+11,20964545195
2023-12-01 00:00:00 UTC,37711.81838,7.3766E+11,16566770728
2023-12-02 00:00:00 UTC,38688.25874,7.56249E+11,24470176252
2023-12-03 00:00:00 UTC,39481.66642,7.71835E+11,14892418344
2023-12-04 00:00:00 UTC,39960.27542,7.82845E+11,14107800649
2023-12-05 00:00:00 UTC,41974.33177,8.20527E+11,40273974905
2023-12-06 00:00:00 UTC,44105.94477,8.63172E+11,37740677040
2023-12-07 00:00:00 UTC,43788.28881,8.57038E+11,30306637688
2023-12-08 00:00:00 UTC,43270.11956,8.48246E+11,27712048105
2023-12-09 00:00:00 UTC,44202.17611,8.63243E+11,24726661393
2023-12-10 00:00:00 UTC,43745.49199,8.55611E+11,17074228506
2023-12-11 00:00:00 UTC,43757.95994,8.56193E+11,11865167562
2023-12-12 00:00:00 UTC,41200.96273,8.06178E+11,39734542164
2023-12-13 00:00:00 UTC,41450.81939,8.12055E+11,24919333991
2023-12-14 00:00:00 UTC,42931.76183,8.40113E+11,26301358636
2023-12-15 00:00:00 UTC,43009.59546,8.41401E+11,22978695605
2023-12-16 00:00:00 UTC,41992.01419,8.21883E+11,17134765249
2023-12-17 00:00:00 UTC,42247.06788,8.25747E+11,13524832238
2023-12-18 00:00:00 UTC,41410.81963,8.10534E+11,16536428696
2023-12-19 00:00:00 UTC,42684.18255,8.34758E+11,26473040427
2023-12-20 00:00:00 UTC,42250.20618,8.27483E+11,23402523668
2023-12-21 00:00:00 UTC,43634.12417,8.54174E+11,28334648886
2023-12-22 00:00:00 UTC,43849.6996,8.58312E+11,21948638203
